step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,1,9839.64,170136,160296.36,0,0,0,0
1,1,1864.28,21249,19384.72,0,0,0,00
1,2,181,181,0,0,0,1,0
1,3,181,181,0,21182,0,1,0
1,1,11668.14,41554,29885.86,0,0,0,0
1,1,7817.71,53860,46042.29,0,0,0,0
1,1,7107.77,183195,176087.23,0,0,0,0
1,1,7861.64,176087.23,168225.59,0,0,0,0
1,1,4024.36,2671,0,0,0,0,0
1,4,5337.77,41720,36382.23,41898,40348.79,0,0
1,4,9644.94,4465,0,10845,157982.12,0,0
1,1,3099.97,20771,17671.03,0,0,0,0
1,1,2560.74,5070,2509.26,0,0,0,0
1,1,11633.76,10127,0,0,0,0,0
1,1,4098.78,503264,499165.22,0,0,0,0
1,3,229133.94,15325,0,5083,51513.44,0,0
1,1,1563.82,450,0,0,0,0,0
1,1,1157.86,21156,19998.14,0,0,0,0
1,1,671.64,15123,14451.36,0,0,0,0
1,2,215310.3,705,0,22425,0,0,0
1,1,1373.43,13854,12480.57,0,0,0,0
1,4,9302.79,11299,1996.21,29832,16896.7,0,0
1,4,1065.41,1817,751.59,10330,0,0,0
1,1,3876.41,67852,63975.59,0,0,0,0
1,2,311685.89,10835,0,6267,2719172.89,0,0
1,1,6061.13,443,0,0,0,0,0
1,1,9478.39,116494,107015.61,0,0,0,0
1,1,8009.09,10968,2958.91,0,0,0,0
1,1,8901.99,2958.91,0,0,0,0,0
1,1,9920.52,0,0,0,0,0,0
1,1,3448.92,0,0,0,0,0,0
1,1,4206.84,0,0,0,0,0,0
1,1,5885.56,0,0,0,0,0,0
1,1,5307.88,0,0,0,0,0,0
1,1,5031.22,0,0,0,0,0,0
1,1,24213.67,0,0,0,0,0,0
1,1,8603.42,253,0,0,0,0,0
1,1,2791.42,300481,297689.58,0,0,0,0
1,1,7413.54,297689.58,290276.03,0,0,0,0
1,1,3295.19,233633,230337.81,0,0,0,0
1,1,1684.81,297,0,0,0,0,0
